artist,alphaname,artist_id,genres
Quicksilver Messenger Service,Quicksilver Messenger Service,7DCnwoFMqGN6eZULdcLZeL,Acid Rock/Psychedelic Rock
Maurice Ravel,"Ravel, Maurice",17hR0sYHpx7VYTMRfFUOmY,Classical/Classical Piano/Neoclassical
Steve Reich,"Reich, Steve",1aVONoJ0EM97BB26etc1vo,Minimalism/Avant-garde/Classical
Keith Richards,"Richards, Keith",08avsqaGIlK2x3i2Cu7rKH,
Terry Riley,"Riley, Terry",7DnLQaXsqcYkgm0nyDrB3r,Minimalism/Avant-garde/Experimental/Drone/Ambient
Rush,Rush,2Hkut4rAAyrQxRdof7FVJq,Progressive Rock/Classic Rock/Rock/Hard Rock/Album Rock
Leon Russell,"Russell, Leon",6r1Xmz7YUD4z0VRUoGm8XN,
Santana,Santana,6GI52t8N5F02MxU0g5U69P,
Erik Satie,"Satie, Erik",459INk8vcC0ebEef82WjIK,Classical Piano/Classical
Merl Saunders,"Saunders, Merl",0mOvsKSG9z0W7C5InpxjMw,
Irmin Schmidt,"Schmidt, Irmin",4kYClJRpGza4CLezfVwLEf,Krautrock/Avant-garde
Shocking Blue,Shocking Blue,5WimOFbBnCU5wI6t5PPpEk,Nederpop
Horace Silver,"Silver, Horace",5ZATfKurLqflrBhv2FLht5,Hard Bop/Jazz/Bebop/Cool Jazz/Soul Jazz
Simon & Garfunkel,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,Folk Rock/Folk
Paul Simon,"Simon, Paul",2CvCyf1gEVhI0mX6aFXmVI,Singer-songwriter
Nina Simone,"Simone, Nina",7G1GBhoKtEPnP86X2PvEYO,Vocal Jazz/Jazz Blues/Soul Jazz/Soul/Jazz/Blues
Elliott Smith,"Smith, Elliott",2ApaG60P4r0yhBoDCGD8YG,Singer-songwriter
Patti Smith,"Smith, Patti",0vYkHhJ48Bs3jWcvZXvOrP,Proto-punk
Soft Machine,Soft Machine,5A0MH7JfEBEMySevsmauds,Progressive Rock/Jazz Fusion/Krautrock/Psychedelic Rock/Art Rock/Acid Rock/Symphonic Rock/Space Rock
Sonic Youth,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Noise Rock/Grunge/Alternative Rock/Post-punk/Shoegaze
